name,measurement_unit
Абрикосовое варенье,г
Абрикосовое пюре,г
Абрикосовый джем,г
Абрикосовый сок,мл
Абрикосы,г
Абрикосы консервированные,г
Авокадо,г
Агава сироп,мл
Агар-агар,г
Аграм,г
Аджика,г
Аджика зеленая,г
Айва,г
Айвовое пюре,г
Айран,г
Айсинг,г
Акула стейки,г
Алкоголь,мл
Алкоголь крепкий,мл
Алыча,г
Альбухара,шт.
Альмехи,г
Амарантовая мука,г
Ананасовый сироп,мл
Ананасовый сок,мл
Ананасы,г
Ананасы вяленые,г
Ананасы консервированные,г
Анис,г
Анис звездочки,г
Анисовый ликер,мл
Анис семена,г
Анчоусы,г
Апельсиновая вода,мл
Апельсиновая цедра,г
Апельсиновая эссенция,ч. л.
Апельсиновое варенье,г
Апельсиновые цукаты,г
Апельсиновый джем,г
Апельсиновый джем с имбирем,г
Апельсиновый ликер,мл
Апельсиновый сироп,мл
Апельсиновый сок,мл
Апельсиновый сок свежевыжатый,мл
Апельсиновый уксус,мл
Апельсиновый экстракт,ч. л.
Апельсины,г
Апельсины красные,шт.
Апельсины крупные,шт.
Арахис,г
Арахис жареный,г
Арахисовая паста,г
Арахисовое масло,г
Арахис соленый,г
Арбузная мякоть,г
Арбузы,г
Аргановое масло,г
Аришта,г
Ароматизатор,г
"ароматизатор ""ананас""",капля
"ароматизатор ""вишня""",капля
"ароматизатор ""малина""",капля
"ароматизатор ""ром""",капля
Артишоки,г
Артишоки в масле,г
Артишоки маринованные,г
Аспирин,шт.
Ассорти мясное,г
Ассорти овощное,г
Ассорти фруктовое,г
Ассорти ягодное,г
Аши,г
Багет,г
Багет вчерашний,г
Багет мини,г
Бадан,г
Бадьян,г
Базилик лимонный,г
Базилик свежий,г
Базилик сушеный,г
Базилик тайский,г
Базилик фиолетовый,г
Баклажаны,г
Баклажаны мини,г
Баклажаны тайские,г
Балык,г
Бальзам,г
Бальзамический крем,г
Бальзамический соус,мл
Бальзамический уксус,мл
Бальзам рижский черный,мл
Бамия,г
Банановое пюре,г
Банановые чипсы,г
Банановый зеленый сироп,мл
Банановый ликер,мл
Бананы,г
Бананы мини,г
Барабулька,г
Бараний ливер,г
Бараний окорок на косточке,г
Бараний фарш,г
Баранина,г
Баранки,г
Бараньи антрекоты,г
Бараньи голяшки,шт.
Бараньи потроха,г
Бараньи ребрышки,шт.
Баранья лопатка,г
Баранья нога,г
Баранья печень,г
Барбарис,г
Барбарис вяленый,ст. л.
Барбарис молотый,г
Бастурма,г
Батат,г
Батон,г
Батончики шоколадные,г
Безе,г
Бекон,г
Бекон варено-копченый,г
Бекон сырокопченый,г
Белорыбица,г
Бирнель,мл
Бисквик смесь готовая,г
Бисквит,г
Бисквитная крошка,г
Бисквитный корж,г
Бисквитный рулет,г
Бисквит шоколадный,г
Бифштекс,шт.
Блинная мука,г
Блины готовые,г
Блины овсяные,шт.
Бобовые ростки,г
Бобы,г
Бобы мунг пророщенные,г
Бобы тонка,шт.
Ботарга,г
Брезаола,г
Бренди,г
Брокколи замороженная,г
Брокколи свежая,г
Брусника замороженная,г
Брусника свежая,г
Брусника сушеная,г
Брусничное варенье,г
Брусничный соус,г
Брынза,г
Брынза сербская,г
Брюква,г
Буженина,г
Бузина сироп,мл
Букет гарни,г
Булгур,г
Булка,г
Булка белая,г
Булка сдобная,г
Булочки,г
Булочки белые черствые,г
Булочки бриошь,шт.
Булочки вчерашние,шт.
Булочки для гамбургеров,шт.
Булочки зерновые,шт.
Булочки ржаные,кусок
Булочки с кунжутом,шт.
Бульон,мл
Бульонные кубики,г
Бурбон,мл
Буррата,г
Буряк,г
Бусинки кондитерские,ч. л.
Бусинки кондитерские серебряные,г
Бычий хвост,г
Ванилин,г
Ваниль в стручках,г
Ванильная настойка,мл
Ванильная эссенция,г
Ванильный порошок,г
Ванильный сироп,мл
Ванильный экстракт,г
Варенье,г
Васаби,г
Вафельная крошка,г
Вафельные коржи,г
Вафельные трубочки,г
Вафли,г
Вафли шоколадные,г
Вермишель,г
Вермишель яичная,г
Вермут,мл
Вермут белый,мл
Вермут сухой,мл
Ветчина,г
Ветчина вареная,г
Ветчина варено-копченая,г
Ветчина копченая,г
Ветчина пармская,г
Ветчина сырокопченая,г
Вешенки,г
Винегрет,г
Винный камень,г
Винный уксус,мл
Винный уксус белый,мл
Винный уксус красный,мл
Винный уксус на чесноке,мл
Винный уксус на эстрагоне,мл
Вино белое,мл
Вино белое полусладкое,мл
Вино белое полусухое,мл
Вино белое сладкое,мл
Вино белое столовое,мл
Вино белое сухое,мл
Виноград,г
Виноград без косточек,г
Виноград белый,г
Виноград изабелла,г
Виноградное желе,г
Виноградные листья,г
Виноградные листья маринованные,г
Виноградные листья молодые,шт.
Виноградный сок,мл
Виноградный сок осветленный,мл
Виноград синий,г
Виноград черный,г
Вино десертное,мл
Вино игристое сухое,мл
Вино красное,мл
Вино красное полусладкое,мл
Вино красное полусухое,мл
Вино красное сладкое,мл
Вино красное сухое,мл
Вино крепленое,мл
Вино розовое полусладкое,мл
Вино розовое полусухое,мл
Виски,мл
Витамин C в порошке,г
Вишневая настойка,мл
Вишневое варенье,г
Вишневые листья,г
Вишневый джем,г
Вишневый ликер,мл
Вишневый сироп,мл
Вишневый сок,мл
Вишня,г
Вишня вяленая,г
Вишня замороженная,г
Вишня засахаренная кондитерская,шт.
Вишня коктейльная,г
Вишня мараскино,г
"вишня, протертая с сахаром",г
Вода,мл
Вода минеральная без газа,мл
Вода минеральная газированная,мл
Водка,мл
Водка анисовая,мл
Водоросли,г
Вустерширский соус,мл
Галангал корень,г
Галеты,г
Гамбургер,г
Ганаш,г
Гарам масала,г
Гарнир,г
Гаспачо,г
Гвоздика,г
Гвоздика молотая,г
Герань листья,г
Геркулес,г
Глазурь,г
Глазурь белая,г
Глазурь готовая,г
Глазурь черная,г
Глазурь шоколадная белая,г
Глутамат натрия,г
Глюкоза,г
Глюкоза сироп,мл
Говядина,г
Говядина на кости,г
Говяжий фарш,г
Говяжий язык,г
Говяжье сердце,г
Говяжьи бифштексы,г
Говяжьи голяшки,г
Говяжьи легкие,г
Говяжьи ребра,г
Говяжьи стейки рибай,г
Говяжья вырезка,шт.
Говяжья грудинка,г
Говяжья лопатка,г
Говяжья мозговая кость,шт.
Говяжья мякоть,г
Говяжья печень,г
Говяжья черева,г
Говяжья шейка,г
Годжи,г
Голец филе,г
Голубика,г
Голубика замороженная,г
Голубь,г
Горбуша,г
Горбуша в собственном соку,банка
Горбуша филе,г
Горгонзола,г
Горгонзола пиканте,г
Горох,г
Горох колотый,г
Гороховые ростки,г
Гороховый суп,мл
Горошек зеленый,г
Горошек зеленый замороженный,г
Горошек зеленый консервированный,г
Горошек стручковый свежий,г
Горчица,г
Горчица дижонская,г
Горчица дижонская с медом,г
Горчица желтая семена,г
Горчица острая,г
Горчица русская,г
Горчица семена,г
Горчица с зернами,г
Горчица сухая,г
Горчица французская,г
Горчица цитрусовая,г
Горчичное масло,мл
Горчичный порошок,г
Грана падано,г
Гранатные зерна,г
Гранатовая паста,г
Гранатовый сироп,мл
Гранатовый сок,мл
Гранатовый сок свежевыжатый,мл
Гранатовый соус,мл
Гранаты,г
Гранита,г
Гранола с орехами,г
Граппа,г
Гратен,г
Грейпфрутовая цедра,г
Грейпфрутовый сок,г
Грейпфруты,г
Грейпфруты розовые,г
Гренадин,г
Гренки,г
Грецкие орехи,г
Грецкие орехи рубленые,г
Гречневая крупа,г
Гречневая крупа зеленая,г
Гречневая лапша соба,г
Гречневая мука,г
Гречневое молоко,мл
Гречневые хлопья,г
Грибы,г
Грибы белые,г
Грибы белые замороженные,г
Грибы белые маринованные,г
Грибы белые сухие,г
Грибы замороженные,г
Грибы замороженные (опята и маслята),г
Грибы лесные,г
Грибы маринованные,г
Грибы свежие,г
Грибы соленые,г
Грибы соломенные консервированные,г
Грибы сухие,г
Грибы шиитаке,г
Грибы шиитаке сухие,г
Гриль,г
Гриссини,г
Грудинка,г
Грудинка варено-копченая,г
Грудинка копченая,г
Грушевое пюре,г
Грушевый ликер,мл
Грушевый сироп,мл
Грушевый сок,мл
Грушевый уксус,мл
Груши,г
Груши вяленые,г
Грюйер,г
Гуава,г
Гуанчиале,г
Гурьевская каша,г
Гусиная грудка копченая,г
Гусиная печень,г
Гусиный жир,ст. л.
Гусь,г
Гусь тушка,г
Дайкон,г
Детское питание,г
Джем,г
Джин,мл
Джусай,г
